"Statistic Label","County","Sex","CensusYear","UNIT","VALUE"
"Population at Each Census 1841 to 2016","State","Both sexes","1841","Number","6528799"
"Population at Each Census 1841 to 2016","State","Both sexes","1851","Number","5111557"
"Population at Each Census 1841 to 2016","State","Both sexes","1861","Number","4402111"
"Population at Each Census 1841 to 2016","State","Both sexes","1871","Number","4053187"
"Population at Each Census 1841 to 2016","State","Both sexes","1881","Number","3870020"
"Population at Each Census 1841 to 2016","State","Both sexes","1891","Number","3468694"
"Population at Each Census 1841 to 2016","State","Both sexes","1901","Number","3221823"
"Population at Each Census 1841 to 2016","State","Both sexes","1911","Number","3139688"
"Population at Each Census 1841 to 2016","State","Both sexes","1926","Number","2971992"
"Population at Each Census 1841 to 2016","State","Both sexes","1936","Number","2968420"
"Population at Each Census 1841 to 2016","State","Both sexes","1946","Number","2955107"
"Population at Each Census 1841 to 2016","State","Both sexes","1951","Number","2960593"
"Population at Each Census 1841 to 2016","State","Both sexes","1956","Number","2898264"
"Population at Each Census 1841 to 2016","State","Both sexes","1961","Number","2818341"
"Population at Each Census 1841 to 2016","State","Both sexes","1966","Number","2884002"
"Population at Each Census 1841 to 2016","State","Both sexes","1971","Number","2978248"
"Population at Each Census 1841 to 2016","State","Both sexes","1979","Number","3368217"
"Population at Each Census 1841 to 2016","State","Both sexes","1981","Number","3443405"
"Population at Each Census 1841 to 2016","State","Both sexes","1986","Number","3540643"
"Population at Each Census 1841 to 2016","State","Both sexes","1991","Number","3525719"
"Population at Each Census 1841 to 2016","State","Both sexes","1996","Number","3626087"
"Population at Each Census 1841 to 2016","State","Both sexes","2002","Number","3917203"
"Population at Each Census 1841 to 2016","State","Both sexes","2006","Number","4239848"
"Population at Each Census 1841 to 2016","State","Both sexes","2011","Number","4588252"
"Population at Each Census 1841 to 2016","State","Both sexes","2016","Number","4761865"
"Population at Each Census 1841 to 2016","State","Male","1841","Number","3222485"
"Population at Each Census 1841 to 2016","State","Male","1851","Number","2494478"
"Population at Each Census 1841 to 2016","State","Male","1861","Number","2169042"
"Population at Each Census 1841 to 2016","State","Male","1871","Number","1992468"
"Population at Each Census 1841 to 2016","State","Male","1881","Number","1912438"
"Population at Each Census 1841 to 2016","State","Male","1891","Number","1728601"
"Population at Each Census 1841 to 2016","State","Male","1901","Number","1610085"
"Population at Each Census 1841 to 2016","State","Male","1911","Number","1589509"
"Population at Each Census 1841 to 2016","State","Male","1926","Number","1506889"
