"Statistic Label","CensusYear","Sex","Age Group","Birthplace","UNIT","VALUE"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","All countries","Number","4525281"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Ireland - county of usual residence","Number","2825408"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Ireland - county other than county of usual residence","Number","933103"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Northern Ireland","Number","58470"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Scotland","Number","17871"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","England and Wales","Number","212296"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Austria","Number","708"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Belgium","Number","1479"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Bulgaria","Number","1783"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Croatia","Number","980"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Cyprus","Number","260"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Czechia","Number","5494"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Denmark","Number","885"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Estonia","Number","2479"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Finland","Number","873"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","France","Number","10081"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Germany","Number","12980"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Greece","Number","575"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Hungary","Number","7413"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Italy","Number","7146"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Latvia","Number","19989"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Lithuania","Number","34847"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Luxembourg","Number","141"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Malta","Number","336"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Netherlands (the)","Number","4499"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Poland","Number","115193"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Portugal","Number","2246"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Romania","Number","17995"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Slovakia","Number","10695"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Slovenia","Number","190"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Spain","Number","7003"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Sweden","Number","1688"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Albania","Number","823"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Belarus","Number","1289"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Bosnia and Herzegovina","Number","1200"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Kosovo","Number","753"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Moldova (the Republic of)","Number","3421"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Norway","Number","551"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Russian Federation (the)","Number","5936"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Serbia","Number","509"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Switzerland","Number","1093"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Turkiye","Number","1301"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Ukraine","Number","4123"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Other Europe(1)","Number","448"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Algeria","Number","1372"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Angola","Number","1089"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Botswana","Number","264"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Cameroon","Number","981"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Congo","Number","2874"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Egypt","Number","1437"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Ethiopia","Number","567"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Ghana","Number","1356"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Côte d'Ivoire","Number","345"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Kenya","Number","1031"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Liberia","Number","272"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Libya","Number","773"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Malawi","Number","313"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Mauritius","Number","2919"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Morocco","Number","727"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Nigeria","Number","19780"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Sierra Leone","Number","439"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Somalia","Number","1487"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","South Africa","Number","8116"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Sudan (the)","Number","1590"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Tanzania, the United Republic of","Number","282"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Togo","Number","334"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Tunisia","Number","259"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Uganda","Number","457"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Zambia","Number","689"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Zimbabwe","Number","2790"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Other Africa(2)","Number","1855"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Afghanistan","Number","555"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Bahrain","Number","201"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Bangladesh","Number","2920"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Myanmar","Number","254"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","China","Number","11458"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","United Arab Emirates (the)","Number","499"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Georgia","Number","694"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Hong Kong","Number","1705"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","India","Number","17856"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Indonesia","Number","286"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Iran (Islamic Republic of)","Number","1006"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Iraq","Number","1729"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Israel","Number","464"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Japan","Number","1012"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Jordan","Number","314"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Kazakhstan","Number","626"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Kuwait","Number","571"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Lao People's Democratic Republic (the)","Number","56"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Lebanon","Number","286"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Malaysia","Number","3782"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Mongolia","Number","607"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Nepal","Number","555"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Oman","Number","168"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Pakistan","Number","8329"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Philippines (the)","Number","13833"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Saudi Arabia","Number","2014"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Singapore","Number","473"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Korea (the Republic of) South Korea","Number","565"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Sri Lanka","Number","613"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Syrian Arab Republic (the)","Number","308"
